Id;IdUser;IdUser2;IdState;State;StateShort;IdLGA;LGA;LGAShort;LGAType;Institution;FacilityType;Ownership;RealLifeRole;SormasRole;SormasRoleShort;No;Name;Phone;eMail;Device
K2r-1Alb-2CtO;COO-KN-ABS-1;1;1;Kano;KN;1;Albasu;ABS;rural;LGA HD;n/a;n/a;ADSNO;Contact officer;COO;1;Mr Nonso Fabunmi;+234-802-9867422;nonso.fabunmi@snft.net;phone
K2r-1Alb-3HFP;HFP-KN-ABS-1;2;1;Kano;KN;1;Albasu;ABS;rural;Albasu PHC;Primary;Public;n/a;Hospital focal person;HFP;1;Mr Sesugh Ogunode;+234-806-8590530;sesugh.ogunode@sormas.ng;phone
K2r-1Alb-4HFP;HFP-KN-ABS-2;3;1;Kano;KN;1;Albasu;ABS;rural;Fanda PHC;Primary;Public;n/a;Hospital focal person;HFP;2;Mr Ugoh Maduabum;+234-703-6666648;ugoh.maduabum@sormas.ng;phone
K2r-1Alb-5HFP;HFP-KN-ABS-3;4;1;Kano;KN;1;Albasu;ABS;rural;Hungu PHC;Primary;Public;n/a;Hospital focal person;HFP;3;Mrs Chiburem Dabiri;+234-64-725328;chiburem.dabiri@sormas.net;phone
K2r-1Alb-6HFP;HFP-KN-ABS-4;5;1;Kano;KN;1;Albasu;ABS;rural;Tsangaya PHC;Primary;Public;n/a;Hospital focal person;HFP;4;Mr Azi Aikhionbare;+234-813-1846976;azi.aikhionbare@ebokon.ng;phone
K2r-1Alb-1SvO;SUO-KN-ABS-1;6;1;Kano;KN;1;Albasu;ABS;rural;LGA HD;n/a;n/a;DSNO;Surveillance officer;SUO;1;Mr Adebolajo Oboli;0806-7040681;adebolajo.oboli@sormas.org;phone
K2r-2DTo-2CtO;COO-KN-DTF-1;7;1;Kano;KN;2;Dawakin Tofa;DTF;rural;LGA HD;n/a;n/a;ADSNO;Contact officer;COO;1;Mr Nnaemeka Mbah;0809-8629930;nnaemeka.mbah@sormas.ng;phone
K2r-2DTo-3HFP;HFP-KN-DTF-1;8;1;Kano;KN;2;Dawakin Tofa;DTF;rural;Dandalama PHC;Primary;Public;n/a;Hospital focal person;HFP;1;Mr Godwin Fajinmi;0807-4757680;godwin.fajinmi@sormas.ng;phone
K2r-2DTo-5HFP;HFP-KN-DTF-2;9;1;Kano;KN;2;Dawakin Tofa;DTF;rural;Dawanau PHC;Primary;Public;n/a;Hospital focal person;HFP;2;Mrs Mujee Bot Kan;0813-9282742;mujee bot.kan@sormas.com;phone
K2r-2DTo-6HFP;HFP-KN-DTF-3;10;1;Kano;KN;2;Dawakin Tofa;DTF;rural;Tattarawa PHC;Primary;Public;n/a;Hospital focal person;HFP;3;Mrs Loutoyopnica Kanayo;0705-8898223;loutoyopnica.kanayo@ebokon.org;phone
K2r-2DTo-4HFP;HFP-KN-DTF-4;11;1;Kano;KN;2;Dawakin Tofa;DTF;rural;Dawaki General hospital;Secondary;Public;n/a;Hospital focal person;HFP;4;Mrs Al Derafaka Aradeon;064-7644943;al derafaka.aradeon@ebokon.com;phone
K2r-2DTo-1SvO;SUO-KN-DTF-1;12;1;Kano;KN;2;Dawakin Tofa;DTF;rural;LGA HD;n/a;n/a;DSNO;Surveillance officer;SUO;1;Mrs Njideka Emordi;0705-2995315;njideka.emordi@sormas.edu;phone
K2r-3Gwa-2CtO;COO-KN-GRZ-1;13;1;Kano;KN;3;Gwarzo;GRZ;rural;LGA HD;n/a;n/a;ADSNO;Contact officer;COO;1;Mrs Ijeoma Ezinwa;0809-4578376;ijeoma.ezinwa@snft.ng;phone
K2r-3Gwa-3HFP;HFP-KN-GRZ-1;14;1;Kano;KN;3;Gwarzo;GRZ;rural;Getso MCH;Primary;Public ;n/a;Hospital focal person;HFP;1;Mr Yakubu Effiom;064-6622768;yakubu.effiom@snft.ng;phone
K2r-3Gwa-5HFP;HFP-KN-GRZ-2;15;1;Kano;KN;3;Gwarzo;GRZ;rural;Alheri Clinic;Primary;Private;n/a;Hospital focal person;HFP;2;Mr Adeyemi Njoku;0805-7989784;adeyemi.njoku@sormas-n.org;phone
K2r-3Gwa-6HFP;HFP-KN-GRZ-3;16;1;Kano;KN;3;Gwarzo;GRZ;rural;Koya Health Post ;Primary;Public;n/a;Hospital focal person;HFP;3;Mr Enosaze Olowola;0803-9123219;e.olowola@sormas.ng;phone
K2r-3Gwa-4HFP;HFP-KN-GRZ-4;17;1;Kano;KN;3;Gwarzo;GRZ;rural;Gwarzo General Hospital;Secondary;Public;n/a;Hospital focal person;HFP;4;Mr Uche Mohamed;+234-64-6111069;u.mohamed@sormas-n.ng;phone
K2r-3Gwa-1SvO;SUO-KN-GRZ-1;18;1;Kano;KN;3;Gwarzo;GRZ;rural;LGA HD;n/a;n/a;DSNO;Surveillance officer;SUO;1;Mr Olaoluwa Mshelia;+234-64-1447435;olaoluwa.mshelia@sormas.ng;phone
K1u-1Kum-2CtO;COO-KN-KBT-1;19;1;Kano;KN;4;Kumbotso;KBT;urban;LGA HD;n/a;n/a;ADSNO;Contact officer;COO;1;Mrs Oluwanifesimi Abayomi;+234-64-4341611;o.abayomi@snft.ng;phone
K1u-1Kum-3HFP;HFP-KN-KBT-1;20;1;Kano;KN;4;Kumbotso;KBT;urban;Chiranci PHC;Primary;Public;n/a;Hospital focal person;HFP;1;Mrs Adeyinka Olowola;+234-809-3511816;adeyinka.olowola@ebokon.edu;phone
K1u-1Kum-4HFP;HFP-KN-KBT-2;21;1;Kano;KN;4;Kumbotso;KBT;urban;Sheka PHC;Primary;Public;n/a;Hospital focal person;HFP;2;Mr Onyinye Agwuocha;0706-2978568;onyinye.agwuocha@sormas.org;phone
