Day;DateReported;LastContactDaySimulation;LastContactDay;EventDate;IdCase;IdPerson;Intensity;TypeOfContact;IdPlace;CaseFam;CaseFirstName;CaseLastName;CaseSex;CaseOccupation;CaseAge;CaseDateOfBirth;CaseMaritalState;CasePhone1;CasePhone1Type;CasePhone2;CasePhone2Type;CaseEMail;CaseIdPlace;CaseIdLGAGeo;CaseState;CaseStateShort;CaseLGA;CaseLGAShort;CaseIdLGA;CaseIdPlaceLGA;CaseLon;CaseLat;CaseLocality;CaseStreet;CaseTypeOfPlace;Fam;FirstName;LastName;Sex;Occupation;Age;DateOfBirth;MaritalState;Phone1;Phone1Type;Phone2;Phone2Type;EMail;IdPlace;IdLGAGeo;State;StateShort;LGA;LGAShort;IdLGA;IdPlaceLGA;Lon;Lat;Locality;Street;TypeOfPlace;EventIdLGAGeo;EventState;EventStateShort;EventLGA;EventLGAShort;EventIdLGA;EventIdPlaceLGA;EventLon;EventLat;EventLocality;EventStreet;EventTypeOfPlace;EventPlaceName;IdUser
8;2015-06-08;0;8;2015-06-08;1199;1136;1;touched the body fluids of the case (blood, vomit, saliva, urine, feces);1584;84;Anika;Brann;female;astronomer;37;1977-12-31;married (and not separated);0703-4615109;mobile;;;anika.brann@sormas.ng;1664;764;Kano;KN;Kiru;KKU;5;64;11.636981239506014;8.197684909797768;Madaki;Iwehen Lane;Home;278;Obano;Adeseun;male;physician;34;1980-08-15;divorced (not living common law);+234-802-3338176;mobile;0706-6282857;mobile;o.adeseun@sormas.ng;1599;766;Kano;KN;Kumbotso;KBT;4;399;11.890754635672863;8.47233221240023;Unguwar Geza;Ovie-whisky Avenue;Home;766;Kano;KN;Kumbotso;KBT;4;384;11.936419994935763;8.540775683448036;Dorayi;Owena Street;Hospital;Gurungawa Health Post;SUO-KN-KBT-1
9;2015-06-09;0;8;2015-06-08;393;392;3;touched or shared the linens, clothes, or dishes of the case;537;67;Olufunso;Agbebaku;male;soldier;52;1962-09-21;divorced (not living common law);0802-3656576;mobile;;;olufunso.agbebaku@ebokon.ng;610;296;Kano;KN;Dawakin Tofa;DTF;2;210;12.130846864569754;8.432616766907922;Nasarawa;Upper 3rd Ivbiore Street;Home;575;Tiwatopelodolurun;Dada;female;school pupil;17;1998-07-05;single (not living common law);0801-5504726;mobile;;;t.dada@ebokon.ng;651;296;Kano;KN;Dawakin Tofa;DTF;2;251;12.124278055494827;8.415750547400611;Gobirawa;Professor Kunmi Akingbhin Street;Home;296;Kano;KN;Dawakin Tofa;DTF;2;137;12.114794115856402;8.375002135247868;Yelwa;Alhaji Lasisi Giwa Close;Hospital;Kwajale Health Post;SUO-KN-DTF-1
9;2015-06-09;0;8;2015-06-08;2265;2207;3;touched or shared the linens, clothes, or dishes of the case;3104;204;Eno-Obong;Kama;female;mining rescue worker (mining rescuer);37;1978-07-01;married (and not separated);+234-64-556080;landline;+234-703-5654050;mobile;eno-obong.kama@ebokon.org;3187;760;Kano;KN;Ungogo;UGG;8;387;12.05570189189165;8.48728813317253;Unguwar Uku;Nwume Drive;Home;694;Oluwatitofunmi;Bada;female;production manager in textile industry;39;1975-10-22;single (not living common law);+234-705-1888471;mobile;0807-5922920;mobile;oluwatitofunmi.bada@ebokon.net;2890;760;Kano;KN;Ungogo;UGG;8;90;12.056548109704309;8.549763154107936;Unguwar Gabas;Oliver Agbo Link;Home;760;Kano;KN;Ungogo;UGG;8;304;12.095531596125658;8.596363190821599;Mai Aduwa;Dimeji Longe Avenue;Hospital;Marmarara General Hospital;SUO-KN-UGG-1
9;2015-06-09;0;8;2015-06-08;2568;2512;2;had direct physical contact with the body of the case (alive or dead);3547;101;Ekpeyoawan;Egerega;female;ceramics or pottery maker;22;1992-08-29;living common law;+234-801-7643340;mobile;0705-5357529;mobile;e.egerega@snft.ng;4000;614;Oyo;OY;Ibarapa North;AYT;10;400;7.653542271764129;3.005961565397083;Adegbola;Iche Kris Street;Home;111;Omuwonuola;Ayeni;female;burial service;32;1982-12-09;single (not living common law);038-8918823;landline;+234-708-8704603;mobile;omuwonuola.ayeni@snft.com;3547;621;Oyo;OY;Ibadan North East;AGG;9;347;7.380536193523863;3.944428699641106;Madeko;Kenneth Agbakuru Street;Home;621;Oyo;OY;Ibadan North East;AGG;9;347;7.380536193523863;3.944428699641106;Madeko;Kenneth Agbakuru Street;Home;;SUO-OY-AGG-1
9;2015-06-09;0;8;2015-06-08;4020;4021;5;;5698;661;Osagie;Onitsha;male;school pupil;13;2001-07-24;single (not living common law);+234-806-4893152;mobile;;;o.onitsha@ebokon.edu;5698;466;Oyo;OY;Ibarapa East;RUW;15;98;7.49856889287925;3.4535793650146105;Akelo;CBN Quarters Road;Home;487;Omolade;Ekubia;male;pipe fitter;40;1974-11-13;married (and not separated);038-9919172;landline;+234-805-2842126;mobile;omolade.ekubia@ebokon.com;5994;466;Oyo;OY;Ibarapa East;RUW;15;394;7.416253714311175;3.5040704700603733;Oyesorun;Omorodion Street;Home;466;Oyo;OY;Ibarapa East;RUW;15;98;7.49856889287925;3.4535793650146105;Akelo;CBN Quarters Road;Home;;SUO-OY-RUW-1
9;2015-06-09;0;8;2015-06-08;4060;4061;5;;5755;88;Obiora;Torey;male;glasscutter (glass grinder);37;1977-10-29;single (not living common law);0805-1123675;mobile;0803-1703883;mobile;o.torey@snft.ng;5755;466;Oyo;OY;Ibarapa East;RUW;15;155;7.655878405587536;3.5992210125786372;Oko;Neni Street;Home;781;Precious;Idiagbon;female;stockbroker;25;1989-04-06;separated (not living common law);+234-38-5763117;landline;;;p.idiagbon@sormas.ng;5811;466;Oyo;OY;Ibarapa East;RUW;15;211;7.4560629685013495;3.4590009367741614;Araromi;Moronu Maduagwu Street;Home;466;Oyo;OY;Ibarapa East;RUW;15;155;7.655878405587536;3.5992210125786372;Oko;Neni Street;Home;;SUO-OY-RUW-1
9;2015-06-09;0;8;2015-06-08;4488;4433;2;had direct physical contact with the body of the case (alive or dead);6297;452;Adaze;Mudasiru;male;physician;33;1981-12-23;living common law;+234-703-4408178;mobile;;;adaze.mudasiru@sormas.ng;6070;491;Oyo;OY;Saki West;SHK;16;70;8.670941193664264;3.13806301629249;Tenleke;Hadejia Road;Home;631;Obiora;Osanebi;male;ticket collector (inspector);37;1978-01-19;living common law;+234-38-5181770;landline;+234-806-2333750;mobile;obiora.osanebi@sormas.org;6086;491;Oyo;OY;Saki West;SHK;16;86;8.723840527752797;3.2054108598050393;Babo;Asata Street;Home;491;Oyo;OY;Saki West;SHK;16;297;8.509140426856943;3.1621948415912264;Sekona;Ogwofia Street;Hospital;Zindiwa Dispensary;SUO-OY-SHK-1
9;2015-06-09;1;8;2015-06-08;1273;1329;2;had direct physical contact with the body of the case (alive or dead);1763;374;Nkimdi;Fatai;male;livestock farmer;49;1965-06-17;widowed (not living common law);+234-801-4532902;mobile;;;nkimdi.fatai@ebokon.ng;1764;764;Kano;KN;Kiru;KKU;5;164;11.610406609261045;8.174230436272483;Gwanki;Oba Aladejobi Street;Home;704;Osarenren ;Aniche;male;harpooner;63;1951-10-29;living common law;+234-809-7296512;mobile;;;osarenren .aniche@sormas-n.ng;1946;764;Kano;KN;Kiru;KKU;5;346;11.493495833713983;8.200009729064222;Baure;Olaitan Onasanya Street;Home;764;Kano;KN;Kiru;KKU;5;163;11.551309701027854;7.9890725141179715;Ungwan Jaka;Paradiso Eden Drive;Hospital;Dangora Primary Health Centre;SUO-KN-KKU-1
9;2015-06-09;1;8;2015-06-08;3592;3591;2;had direct physical contact with the body of the case (alive or dead);5134;414;Olufunso;Tor;male;school pupil;14;2001-08-03;single (not living common law);+234-38-2196738;landline;;;olufunso.tor@ebokon.org;5058;360;Oyo;OY;Irepo;KSH;13;258;9.116361654367664;3.886456434918835;Ewuji Asa;St Paul's Lane;Home;174;Chidiebere;Ohu;male;dish washer;36;1979-12-03;single (not living common law);0708-2907124;mobile;;;c.ohu@ebokon.ng;5055;360;Oyo;OY;Irepo;KSH;13;255;8.996224888921613;3.87228047616303;Soro;Tamgbo Street;Home;360;Oyo;OY;Irepo;KSH;13;334;8.938512101800711;3.8752315925630945;Ago Fulani;Raliatu Street;Hospital;Jauben Yamma Health Post;SUO-OY-KSH-1
9;2015-06-09;2;9;2015-06-09;3437;3323;2;had direct physical contact with the body of the case (alive or dead);4609;682;Oluwamayowa;Amadiume;male;trainee;16;1998-09-22;single (not living common law);0806-9618509;mobile;;;oluwamayowa.amadiume@snft.ng;4849;360;Oyo;OY;Irepo;KSH;13;49;8.94960863493878;3.9754956546732334;Ago Fulani;Appleton Road;Home;62;Ijeoma;Kanayo;female;ceramicist (potter);37;1977-11-06;single (not living common law);+234-703-8977754;mobile;;;ijeoma.kanayo@sormas-n.edu;4689;65;Oyo;OY;Kajola;KEH;12;289;8.121980554656856;3.2895099789875397;Isemi Ile;Ikemba Avenue;Home;65;Oyo;OY;Kajola;KEH;12;209;8.084051211156785;3.392767032618748;Ago;Nagwamatse Road;Home;;SUO-OY-KEH-1
