IdRumor;PlaceIdPlace;PlaceIdLGAGeo;PlaceState;PlaceStateShort;PlaceLGA;PlaceLGAShort;PlaceIdLGA;PlaceIdPlaceLGA;PlaceLon;PlaceLat;PlaceLocality;PlaceStreet;PlaceTypeOfPlace;PlacePlaceName;ROIdPerson;ROFam;ROFirstName;ROLastName;ROSex;ROOccupation;ROAge;ROBirthDate;ROMaritalState;ROPhone1;ROPhone1Type;ROPhone2;ROPhone2Type;ROEMail;ROIdPlace;ROIdLGAGeo;ROState;ROStateShort;ROLGA;ROLGAShort;ROIdLGA;ROIdPlaceLGA;ROLon;ROLat;ROLocality;ROStreet;ROTypeOfPlace;RumorRemark;IdPerson;Fam;FirstName;LastName;Sex;Occupation;Age;BirthDate;MaritalState;Phone1;Phone1Type;Phone2;Phone2Type;EMail;IdPlace;IdLGAGeo;State;StateShort;LGA;LGAShort;IdLGA;IdPlaceLGA;Lon;Lat;Locality;Street;TypeOfPlace;IdUser;Day;EventDate
00310021;54;735;Kano;KN;Albasu;ABS;1;54;11.702834402182466;9.127364789049818;Huguma;Yoruba Tennis Club Road;Hospital;Tsangaya Primary Health Centre;225;250;Chizoba;Muse;female;school pupil;12;2002-07-31;single (not living common law);064-3265836;landline;;;chizoba.muse@sormas-n.org;307;735;Kano;KN;Albasu;ABS;1;307;11.662428199029346;9.078191206388627;Acika;Idada Close;Home;This person has touched the sick one.;4278;553;Bolarinwa;Krane;male;apprentice;17;1998-02-15;single (not living common law);+234-38-2487554;landline;;;bolarinwa.krane@snft.ng;6065;491;Oyo;OY;Saki West;SHK;16;65;8.728648611509165;3.071177640716995;Tede;Freetown Street;Home;RUO-KN-ZZZ-1;22;2015-06-22
00310021;54;735;Kano;KN;Albasu;ABS;1;54;11.702834402182466;9.127364789049818;Huguma;Yoruba Tennis Club Road;Hospital;Tsangaya Primary Health Centre;225;250;Chizoba;Muse;female;school pupil;12;2002-07-31;single (not living common law);064-3265836;landline;;;chizoba.muse@sormas-n.org;307;735;Kano;KN;Albasu;ABS;1;307;11.662428199029346;9.078191206388627;Acika;Idada Close;Home;This person seemed very sick.;31;484;Stella;Uzochukwu;female;producer;33;1982-12-04;living common law;0803-5810347;mobile;+234-706-1399188;mobile;stella.uzochukwu@snft.ng;50;735;Kano;KN;Albasu;ABS;1;50;11.688331352120073;9.00918732959028;Albasu;Eko Lane;Home;RUO-KN-ZZZ-1;22;2015-06-22
00310021;54;735;Kano;KN;Albasu;ABS;1;54;11.702834402182466;9.127364789049818;Huguma;Yoruba Tennis Club Road;Hospital;Tsangaya Primary Health Centre;225;250;Chizoba;Muse;female;school pupil;12;2002-07-31;single (not living common law);064-3265836;landline;;;chizoba.muse@sormas-n.org;307;735;Kano;KN;Albasu;ABS;1;307;11.662428199029346;9.078191206388627;Acika;Idada Close;Home;This person was standing nearby.;49;163;Ighogbetine;Nguirmamaramama;male;sound engineer;64;1950-09-19;single (not living common law);0807-9280503;mobile;;;i.nguirmamaramama@sormas-n.ng;76;735;Kano;KN;Albasu;ABS;1;76;11.664170409488277;9.12580116491669;Ungwan Kuka;Balogun Street;Home;RUO-KN-ZZZ-1;22;2015-06-22
00310021;54;735;Kano;KN;Albasu;ABS;1;54;11.702834402182466;9.127364789049818;Huguma;Yoruba Tennis Club Road;Hospital;Tsangaya Primary Health Centre;225;250;Chizoba;Muse;female;school pupil;12;2002-07-31;single (not living common law);064-3265836;landline;;;chizoba.muse@sormas-n.org;307;735;Kano;KN;Albasu;ABS;1;307;11.662428199029346;9.078191206388627;Acika;Idada Close;Home;This person was standing nearby.;219;332;Osarenren ;Oliha;male;textiles dyer ;51;1963-09-27;single (not living common law);0801-5755700;mobile;;;o.oliha@ebokon.ng;366;735;Kano;KN;Albasu;ABS;1;366;11.661059685180284;9.04278108683891;Daho;Spatal Lane;Home;RUO-KN-ZZZ-1;22;2015-06-22
00610018;86;735;Kano;KN;Albasu;ABS;1;86;11.61638211136801;9.037120310144337;Unguwar Kuka;Agbonlahor Str;Home;;258;723;Akhilomen;George;male;mining machine operator;28;1986-10-16;single (not living common law);+234-708-6221252;mobile;;;a.george@ebokon.ng;127;735;Kano;KN;Albasu;ABS;1;127;11.627650777320333;9.135816468402778;Sarina;Olubu Kola Street;Home;This person has touched the sick one.;123;614;Kingsley ;Balogun;male;police officer;37;1978-12-04;married (and not separated);+234-706-6542992;mobile;;;k.balogun@snft.net;292;735;Kano;KN;Albasu;ABS;1;292;11.685856644206627;8.985826365801522;Huguma;Ezeagu Igbudu Street;Home;SUO-KN-ABS-1;19;2015-06-19
00610018;86;735;Kano;KN;Albasu;ABS;1;86;11.61638211136801;9.037120310144337;Unguwar Kuka;Agbonlahor Str;Home;;258;723;Akhilomen;George;male;mining machine operator;28;1986-10-16;single (not living common law);+234-708-6221252;mobile;;;a.george@ebokon.ng;127;735;Kano;KN;Albasu;ABS;1;127;11.627650777320333;9.135816468402778;Sarina;Olubu Kola Street;Home;This person seemed very sick.;61;388;Oludare;Omodiagbe;male;interpreter and translator;26;1988-10-14;living common law;+234-708-7439417;mobile;;;o.omodiagbe@snft.org;91;735;Kano;KN;Albasu;ABS;1;91;11.650933441901;9.030550096881923;Bataiya;Akinwumi Street;Home;SUO-KN-ABS-1;19;2015-06-19
00610018;86;735;Kano;KN;Albasu;ABS;1;86;11.61638211136801;9.037120310144337;Unguwar Kuka;Agbonlahor Str;Home;;258;723;Akhilomen;George;male;mining machine operator;28;1986-10-16;single (not living common law);+234-708-6221252;mobile;;;a.george@ebokon.ng;127;735;Kano;KN;Albasu;ABS;1;127;11.627650777320333;9.135816468402778;Sarina;Olubu Kola Street;Home;This person was standing nearby.;11;308;Al Derafaka;Aradeon;female;butcher and sausage-maker;52;1963-04-13;living common law;064-7644943;landline;;;al derafaka.aradeon@ebokon.com;15;735;Kano;KN;Albasu;ABS;1;15;11.644084324068825;9.09585678395116;Daho;Ogbesasa lane;Home;SUO-KN-ABS-1;19;2015-06-19
00610018;86;735;Kano;KN;Albasu;ABS;1;86;11.61638211136801;9.037120310144337;Unguwar Kuka;Agbonlahor Str;Home;;258;723;Akhilomen;George;male;mining machine operator;28;1986-10-16;single (not living common law);+234-708-6221252;mobile;;;a.george@ebokon.ng;127;735;Kano;KN;Albasu;ABS;1;127;11.627650777320333;9.135816468402778;Sarina;Olubu Kola Street;Home;This person was standing nearby.;267;693;Amaka;Ojokolo;male;pedicurist or manicurist (pedicurist-manicurist);58;1956-06-14;widowed (not living common law);064-1874733;landline;;;amaka.ojokolo@snft.com;167;735;Kano;KN;Albasu;ABS;1;167;11.662852590617636;9.041364664579532;Daho;Jeff Udeoha Street;Home;SUO-KN-ABS-1;19;2015-06-19
01490046;6202;491;Oyo;OY;Saki West;SHK;16;202;8.521859707662067;3.005674312359406;Shabe;Golf Course Road;Home;;4436;775;Akinola;Obanor;male;burial service;19;1995-12-06;living common law;0802-7978377;mobile;;;akinola.obanor@sormas-n.ng;6308;491;Oyo;OY;Saki West;SHK;16;308;8.556972273976559;3.2130482747414897;Aiyekale;eboigbe street;Home;This person has touched the sick one.;320;165;Yakubu;Latifu;male;management accountant;19;1996-04-02;married (and not separated);+234-813-7938811;mobile;;;yakubu.latifu@snft.org;440;296;Kano;KN;Dawakin Tofa;DTF;2;40;12.140228531594115;8.445538193178159;Taura;Ogbeifun Lane;Home;SUO-OY-SHK-1;39;2015-07-09
01490046;6202;491;Oyo;OY;Saki West;SHK;16;202;8.521859707662067;3.005674312359406;Shabe;Golf Course Road;Home;;4436;775;Akinola;Obanor;male;burial service;19;1995-12-06;living common law;0802-7978377;mobile;;;akinola.obanor@sormas-n.ng;6308;491;Oyo;OY;Saki West;SHK;16;308;8.556972273976559;3.2130482747414897;Aiyekale;eboigbe street;Home;This person has touched the sick one.;4428;466;Obiora;Erese;male;employment agent (employment officer);60;1954-07-18;married (and not separated);038-8513612;landline;;;o.erese@sormas.org;6290;491;Oyo;OY;Saki West;SHK;16;290;8.50878522124971;3.0327400567708676;Irawo;UNTH Road Extension;Home;SUO-OY-SHK-1;39;2015-07-09
